,RMSE (m),MAE (m),P95 (m)
ISA,66.56929411978425,58.33525374193424,112.78028058169294
Baro_Linear,50.9612956994825,40.671546543076936,98.68879345814454
Physics_Baseline,51.00174025191279,40.704784928039665,98.75969009950003
RandomForest,6.353033390883241,4.029424035102053,11.985271792442195
Neural_Residual,9.685871031231738,6.6587431477633805,18.782272552972596
