uid,processed_time,record_count,avg_temperature,avg_humidity,avg_pressure,avg_altitude,avg_height,avg_vbat,avg_satellites,avg_hdop,avg_latitude,avg_longitude
20240606181851A641973A1878250224,2025-11-24T00:00:00.000000,50,19.5,58.626000292000036,100105.25625,147.32399871599995,-2.4000001,7.715448316000003,12.0,1.7292000120000004,22.607898900000013,114.059926164
20240606181851A641973A1878250224,2025-11-24T00:01:00.000000,52,19.49615383076923,58.62500000000001,100103.13461538461,144.84230804807694,-2.4000001,7.712100328846157,12.0,1.874038453846154,22.60791037307693,114.05994694807686
20240606181851A641973A1878250224,2025-11-24T00:02:00.000000,51,19.5,59.070588417647066,100101.30024509804,144.10784313725486,-2.4000001,7.723682670588236,12.0,1.8845097901960788,22.607956376470593,114.05993562156861
20240606181851A641973A1878250224,2025-11-24T00:03:00.000000,51,19.5,60.64313731764703,100101.04166666667,149.5941177156863,-2.4000001,7.710835603921571,12.0,1.7574509843137252,22.607952143137258,114.0599404254901
20240606181851A641973A1878250224,2025-11-24T00:04:00.000000,52,19.498076915384615,61.588461648076944,100100.84675480769,150.41538532884613,-2.4000001,7.7320503346153835,12.0,1.7859615365384616,22.607924180769245,114.05996940769226
20240606181851A641973A1878250224,2025-11-24T00:05:00.000000,52,19.49230766153846,61.79999990192305,100100.07512019231,152.97884603846148,-2.4000001,7.735500351923075,12.0,1.985576926923077,22.60796843653846,114.05998111538462
20240606181851A641973A1878250224,2025-11-24T00:06:00.000000,51,19.437254650980393,60.839215829411785,100099.40134803922,154.03137267058827,-2.4000001,7.7299532607843116,12.0,2.148627450980392,22.608214517647063,114.05995075686273
20240606181851A641973A1878250224,2025-11-24T00:07:00.000000,51,19.401960392156862,59.68235256470589,100098.31740196078,142.11176524901964,-2.4000001,7.720317970588238,12.0,1.8088235372549024,22.60833972941177,114.05995060784316
20240606181851A641973A1878250224,2025-11-24T00:08:00.000000,52,19.3999996,58.29423024999997,100096.88581730769,133.28269224230763,-2.4000001,7.7056503038461575,12.0,1.7809615519230773,22.608468382692315,114.0599507769231
20240606181851A641973A1878250224,2025-11-24T00:09:00.000000,51,19.3999996,58.037254862745066,100095.58210784313,144.45882460980394,-2.4000001,7.7064003117647095,12.0,1.9209804058823534,22.60827604117648,114.05994429803908
20240606181851A641973A1878250224,2025-11-24T00:10:00.000000,50,19.3999996,58.850000072000014,100095.02375,152.57600067400003,-2.4000001,7.702344288000005,12.0,1.7824000100000004,22.608130490000004,114.05995985599995
20240606181851A641973A1878250224,2025-11-24T00:11:00.000000,52,19.3999996,60.22884632500002,100095.34975961539,160.29230821923076,-2.4000001,7.706250292307697,12.0,2.0332692346153847,22.608010688461533,114.059962775
20240606181851A641973A1878250224,2025-11-24T00:12:00.000000,52,19.3999996,60.65576901346154,100095.80889423077,165.8269239596154,-2.4000001,7.707450298076927,12.0,1.9680769442307697,22.607950282692304,114.05997673269242
20240606181851A641973A1878250224,2025-11-24T00:13:00.000000,49,19.3999996,60.43469361632652,100096.3737244898,164.60408175714286,-2.4000001,7.730755457142856,12.0,1.6355101938775514,22.607956318367346,114.05999005918359
20240606181851A641973A1878250224,2025-11-24T00:14:00.000000,51,19.3999996,60.24901946470587,100096.82659313726,162.01764723725492,-2.4000001,7.733012103921567,12.0,1.740196080392156,22.6079448235294,114.05997764509804
20240606181851A641973A1878250224,2025-11-24T00:15:00.000000,51,19.3999996,60.06666685686273,100097.63725490196,165.07058895490204,-2.4000001,7.7324003411764695,12.0,1.4425490098039215,22.60786958431373,114.059983492157
20240606181851A641973A1878250224,2025-11-24T00:16:00.000000,49,19.397958775510205,59.62653024693879,100098.10650510204,166.53061130612238,-2.4000001,7.719135022448983,12.0,1.7040816183673466,22.607848448979595,114.05997500000001
20240606181851A641973A1878250224,2025-11-24T00:17:00.000000,52,19.38653800769231,58.51923061730769,100097.79567307692,163.90192324615384,-2.4000001,7.7097002980769265,12.0,1.609230773076923,22.607849240384624,114.05997438461533
20240606181851A641973A1878250224,2025-11-24T00:18:00.000000,51,19.368626925490197,57.6843134764706,100097.51593137255,168.04509781176475,-2.4000001,7.707165007843141,12.0,1.9470588058823526,22.607840437254907,114.05997091764708
20240606181851A641973A1878250224,2025-11-24T00:19:00.000000,52,19.330768553846156,57.91346195961542,100097.56189903847,174.9192299442308,-2.4000001,7.704000301923082,12.0,1.4409615423076927,22.607841746153845,114.0599768615385
20240606181851A641973A1878250224,2025-11-24T00:20:00.000000,50,19.333999336,57.83200001399999,100096.601875,184.57399992600006,-2.4000001,7.7071803200000035,12.0,1.5398000079999996,22.607889205999996,114.05996536799998
20240606181851A641973A1878250224,2025-11-24T00:21:00.000000,52,19.348076315384617,57.88653819807692,100095.74639423077,180.86538432307694,-2.4000001,7.705200298076927,12.0,1.6513461423076925,22.60790019038462,114.05996554230765
20240606181851A641973A1878250224,2025-11-24T00:22:00.000000,52,19.344230146153848,57.330769030769225,100094.51021634616,170.48846258653853,-2.4000001,7.7104503173076955,11.98076923076923,1.5098076769230775,22.60781886346155,114.05999286730774
20240606181851A641973A1878250224,2025-11-24T00:23:00.000000,50,19.315999264000002,56.91599998800001,100093.635625,169.631999202,-2.4000001,7.705620310000004,12.0,1.3181999880000002,22.607809297999996,114.05998839000002
20240606181851A641973A1878250224,2025-11-24T00:24:00.000000,50,19.309999240000003,56.715999850000024,100092.6675,175.600000614,-2.4000001,7.721688336,12.0,1.4169999919999998,22.607875564,114.05995880999997
20240606181851A641973A1878250224,2025-11-24T00:25:00.000000,52,19.305768453846156,57.01538438461542,100090.45612980769,171.74807592499994,-2.4000001,7.729650365384615,12.0,1.4253846134615384,22.60790455576923,114.05997085961539
20240606181851A641973A1878250224,2025-11-24T00:26:00.000000,50,19.325999304000003,56.93999998799999,100088.14125,171.7559988379999,-2.4000001,7.704996312000004,12.0,1.2825999920000002,22.607925761999994,114.05997451600005
20240606181851A641973A1878250224,2025-11-24T00:27:00.000000,52,19.34038397692308,56.565384790384655,100086.26322115384,166.5249991730769,-2.4000001,7.710150303846158,12.0,1.3759615365384616,22.6078335673077,114.05999741153846
20240606181851A641973A1878250224,2025-11-24T00:28:00.000000,50,19.33999936,56.592000044,100084.59375,158.95600128400002,-2.4000001,7.706400310000005,12.0,1.2422000039999999,22.60784535,114.05997603399997
20240606181851A641973A1878250224,2025-11-24T00:29:00.000000,52,19.37884566923077,56.59230804423082,100083.98858173077,175.97884632884615,-2.4000001,7.709700336538465,12.0,1.2536538519230764,22.60783486153846,114.05996001153845
20240606181851A641973A1878250224,2025-11-24T00:30:00.000000,51,19.37647009411765,56.32156855294118,100083.67953431372,181.48039155882353,-2.4000001,7.7227650431372545,12.0,1.3398039235294117,22.607975384313725,114.05993517843133
20240606181851A641973A1878250224,2025-11-24T00:31:00.000000,52,19.394230346153847,55.93461550769228,100083.1171875,194.93846160192314,-2.4000001,7.737000351923076,11.923076923076923,1.486923090384615,22.60795553653846,114.05992889615383
20240606181851A641973A1878250224,2025-11-24T00:32:00.000000,51,19.39803880784314,55.80784315294116,100082.68504901961,195.28235252745097,-2.4000001,7.735306221568625,11.96078431372549,1.5184313686274515,22.607825786274507,114.05986799215687
20240606181851A641973A1878250224,2025-11-24T00:33:00.000000,50,19.3999996,56.065999009999956,100081.721875,178.45800018400004,-2.4000001,7.721688328000002,11.84,1.6513999980000005,22.607728651999988,114.05982100999998
20240606181851A641973A1878250224,2025-11-24T00:34:00.000000,52,19.398076515384616,56.1788456403846,100081.04927884616,169.40576963653848,-2.4000001,7.713600328846156,12.0,1.6232692403846158,22.60774322307693,114.05990468653857
20240606181851A641973A1878250224,2025-11-24T00:35:00.000000,50,19.3999996,56.045999310000006,100080.735,165.91199950799998,-2.4000001,7.706868306000003,11.98,2.1478000360000005,22.607781992000003,114.05991471399992
20240606181851A641973A1878250224,2025-11-24T00:36:00.000000,51,19.3999996,55.84117610196079,100081.14154411765,164.34313815294124,-2.4000001,7.709612088235298,11.431372549019608,2.096078441176471,22.607775180392164,114.05994191764702
20240606181851A641973A1878250224,2025-11-24T00:37:00.000000,51,19.3999996,55.77843091764706,100081.42401960785,170.57647076862742,-2.4000001,7.715270896078433,12.0,1.3852941156862741,22.607749080392153,114.05993009215679
20240606181851A641973A1878250224,2025-11-24T00:38:00.000000,50,19.397999592,55.78799947,100081.401875,164.907999878,-2.4000001,7.7078043180000035,12.0,1.5092000040000004,22.607792744000005,114.05992660000001
20240606181851A641973A1878250224,2025-11-24T00:39:00.000000,51,19.3999996,55.69411754705884,100081.4405637255,155.05294111372552,-2.4000001,7.7155768117647066,12.0,1.3168627372549024,22.607748298039215,114.05996793921572
20240606181851A641973A1878250224,2025-11-24T00:40:00.000000,51,19.396078015686275,55.835293764705895,100082.75245098039,161.17254908039214,-2.4000001,7.735765070588234,12.0,1.1617647039215684,22.60776627058824,114.0599712254902
20240606181851A641973A1878250224,2025-11-24T00:41:00.000000,51,19.3999996,56.05686226470589,100083.42463235294,160.3470590647059,-2.4000001,7.725670911764706,12.0,1.2386274549019607,22.607797247058823,114.05996613333325
20240606181851A641973A1878250224,2025-11-24T00:42:00.000000,51,19.3999996,56.223529147058805,100084.55821078431,163.6862745078431,-2.4000001,7.712059149019611,12.0,1.101176478431373,22.60784524313725,114.05995507843133
20240606181851A641973A1878250224,2025-11-24T00:43:00.000000,51,19.3999996,56.72352936470589,100085.55208333333,163.5431383941177,-2.4000001,7.7131297509803955,12.0,1.2954902058823528,22.60784122745098,114.05996673333328
20240606181851A641973A1878250224,2025-11-24T00:44:00.000000,50,19.3999996,56.30199944999997,100086.22375,166.60399933399995,-2.4000001,7.705308306000004,12.0,1.3731999940000004,22.607834045999994,114.05997576000007
20240606181851A641973A1878250224,2025-11-24T00:45:00.000000,50,19.397999592,55.930000138000025,100086.564375,165.55200072800002,-2.4000001,7.7096763320000035,12.0,1.325999994,22.607833775999996,114.05998108200006
20240606181851A641973A1878250224,2025-11-24T00:46:00.000000,52,19.392307261538463,56.12115414423075,100087.00540865384,164.14615367115388,-2.4000001,7.704900313461542,12.0,1.2303845961538467,22.607835330769223,114.05996731538461
20240606181851A641973A1878250224,2025-11-24T00:47:00.000000,51,19.388234847058825,55.84117621960783,100087.24632352941,158.08431408627456,-2.4000001,7.726741523529411,12.0,1.469607835294118,22.607785537254898,114.05999757450977
20240606181851A641973A1878250224,2025-11-24T00:48:00.000000,50,19.395999584000002,55.746000584,100087.0925,164.15400054800003,-2.4000001,7.728864309999999,12.0,1.1808000000000005,22.607839732,114.05998274999996
20240606181851A641973A1878250224,2025-11-24T00:49:00.000000,51,19.3999996,55.81372541764702,100085.06985294117,167.85882328627446,-2.4000001,7.734082666666665,12.0,1.1456862725490196,22.60790960588236,114.05995314117638
20240606181851A641973A1878250224,2025-11-24T00:50:00.000000,52,19.3999996,55.56153812115382,100084.26201923077,163.36538461538464,-2.4000001,7.733550344230768,12.0,1.1644230788461545,22.60786613846154,114.05997231538456
20240606181851A641973A1878250224,2025-11-24T00:51:00.000000,52,19.3999996,55.65192298076921,100082.40925480769,163.0461534326923,-2.4000001,7.716450326923081,12.0,1.1603846076923077,22.607883384615384,114.05996132307686
20240606181851A641973A1878250224,2025-11-24T00:52:00.000000,50,19.3999996,54.818000026,100081.86,163.23199950599997,-2.4000001,7.708896302000003,12.0,1.2350000140000001,22.607841575999995,114.05997605200012
20240606181851A641973A1878250224,2025-11-24T00:53:00.000000,52,19.3999996,53.57692358076922,100081.22295673077,163.9499995903846,-2.4000001,7.710150323076926,12.0,1.0651923096153846,22.60787355192307,114.05998200769247
20240606181851A641973A1878250224,2025-11-24T00:54:00.000000,52,19.401922684615386,53.50961538076923,100081.52103365384,162.4884614307692,-2.4000001,7.710150342307696,12.0,1.0530769211538469,22.6078622673077,114.05998390769243
