timestamp,lat,lon,p_drone_pa,h_hae_true,p_ref_pa,h_ref_msl,t_ref_k,q_ref,roughness,n_geoid,h_msl_pred_phy,h_hae_pred_phy,residual_hae
1970-01-01 00:11:33.500173,22.9106496,120.3119322,100392.0,123.53,4999.999999999999,20.0,296.98995507728387,0.0102079559657445,10.65263313825716,19.8005122791483,-35140.57479560298,-35120.77428332383,35244.30428332383
1970-01-01 00:11:33.932173,22.9106469,120.3118721,100401.0,123.066,4999.999999999999,20.0,296.9906332357144,0.0102077397928276,10.65263313825716,19.80031513827669,-35142.03408836024,-35122.23377322196,35245.29977322196
1970-01-01 00:11:34.472280,22.9106363,120.3118098,100396.0,122.743,4999.999999999999,20.0,296.9911806693949,0.0102074923883907,8.34058065054877,19.80010737478716,-35141.33279810469,-35121.5326907299,35244.275690729904
1970-01-01 00:11:34.904444,22.9106115,120.3117461,100411.0,122.642,4999.999999999999,108.8782410577284,296.9914625116192,0.0102071978092251,13.59763655482803,19.799888799852848,-35054.78614442037,-35034.98625562052,35157.62825562052
1970-01-01 00:11:35.336458,22.9105809,120.3116835,100412.0,122.251,4999.999999999999,20.0,296.99161638098803,0.010206889958199,4.904281137950123,19.79967133200933,-35143.83580837828,-35124.03613704627,35246.28713704627
1970-01-01 00:11:35.876412,22.9105538,120.31162,100415.0,121.259,4999.999999999999,20.0,296.9918520267531,0.0102065896979406,8.366441449858485,19.79945261764936,-35144.32331630607,-35124.523863688424,35245.78286368842
1970-01-01 00:11:36.945840,22.9105636,120.3115022,100429.29,118.683,4999.999999999999,117.95144515259402,296.99348497645315,0.0102062117620309,13.146048608968451,19.7990739239176,-35048.754337981496,-35028.95526405758,35147.638264057576
1970-01-01 00:11:37.496616,22.9106017,120.3114643,100437.0,118.558,4999.999999999999,117.95144515259402,296.9947038454209,0.010206193835282,13.146048608968451,19.798967681025815,-35050.079678444105,-35030.28071076308,35148.83871076308
1970-01-01 00:11:37.928613,22.9106467,120.3114378,100446.0,118.808,4999.999999999999,117.95144515259402,296.9959198471741,0.0102062356248246,13.146048608968451,19.79890155141144,-35051.60219881995,-35031.80329726854,35150.61129726854
1970-01-01 00:11:38.339004,22.9106905,120.3114108,100437.836,119.096,4999.999999999999,20.0,296.9971174165345,0.0102062719540774,8.366441449858485,19.798833253441288,-35148.44497661839,-35128.646143364946,35247.74214336494
1970-01-01 00:11:38.468620,22.9106905,120.3114108,100445.0,119.096,4999.999999999999,20.0,296.9971174165345,0.0102062719540774,8.366441449858485,19.798833253441288,-35149.542291625534,-35129.74345837209,35248.83945837209
1970-01-01 00:11:38.900586,22.9107267,120.3113722,100429.0,119.527,4999.999999999999,117.95144515259402,296.9983046408246,0.0102062453784982,13.146048608968451,19.79872388200865,-35049.280605607964,-35029.48188172596,35149.00888172596
1970-01-01 00:11:39.332588,22.9107451,120.3113342,100419.0,119.912,4999.999999999999,117.95144515259402,296.99913113013065,0.0102061680306824,13.146048608968451,19.79860857797162,-35047.846536607474,-35028.047928029504,35147.9599280295
1970-01-01 00:11:39.872796,22.9107577,120.3112609,100429.0,120.655,4999.999999999999,117.95144515259402,297.00027121333807,0.0102059509494961,13.146048608968451,19.79837608711293,-35049.51346522651,-35029.7150891394,35150.3700891394
1970-01-01 00:11:40.521011,22.9107561,120.3111994,100433.0,121.123,4999.999999999999,20.0,297.0009867167563,0.0102057328254841,6.510016048591106,19.79817572316604,-35148.162374634594,-35128.364198911426,35249.487198911425
1970-01-01 00:11:40.953010,22.9107541,120.3111372,100441.0,121.13,4999.999999999999,20.0,297.0017028840191,0.0102055111091872,10.058299185838068,19.797972995709504,-35149.472604955416,-35129.67463195971,35250.804631959705
1970-01-01 00:11:41.493114,22.9107573,120.3110754,100429.0,120.543,4999.999999999999,20.0,297.002516869522,0.0102053060839018,10.058299185838068,19.797773942740275,-35147.73081597821,-35127.933042035475,35248.47604203547
1970-01-01 00:11:41.925101,22.9107732,120.3110187,100418.0,119.625,4999.999999999999,20.0,297.0035191553685,0.0102051560079931,7.27039333642538,19.79759709028489,-35146.16433788933,-35126.36674079904,35245.99174079904
1970-01-01 00:11:42.346280,22.9108066,120.3109759,100408.86,119.197,4999.999999999999,20.0,297.0046969416959,0.01020510538302,7.27039333642538,19.79747303304466,-35144.9034595082,-35125.10598647515,35244.30298647515
1970-01-01 00:11:42.465220,22.9108066,120.3109759,100435.0,119.197,4999.999999999999,20.0,297.0046969416959,0.01020510538302,7.27039333642538,19.79747303304466,-35148.90807338272,-35129.110600349675,35248.307600349675
1970-01-01 00:11:42.897247,22.9108526,120.3109525,100419.0,119.617,4999.999999999999,20.0,297.00588681702527,0.0102051589120128,10.058299185838068,19.797417396057813,-35146.597880129,-35126.800462732936,35246.417462732934
1970-01-01 00:11:43.329219,22.9109008,120.3109372,100441.0,119.822,4999.999999999999,20.0,297.0070213026665,0.010205246920548,10.058299185838068,19.797388967307096,-35150.1023857853,-35130.30499681799,35250.12699681799
1970-01-01 00:11:43.869220,22.910951,120.3109227,100416.0,119.469,4999.999999999999,20.0,297.0081850426505,0.0102053434671439,10.058299185838068,19.79736399613628,-35146.4103806644,-35126.61301666826,35246.08201666826
1970-01-01 00:11:44.949585,22.9110549,120.3108881,100422.0,118.948,4999.999999999999,20.0,297.0106476077293,0.010205526937307,6.510016048591106,19.7972973913456,-35147.62118598422,-35127.82388859288,35246.77188859288
1970-01-01 00:11:45.489485,22.9111089,120.3108714,100419.0,118.558,4999.999999999999,20.0,297.0119111763953,0.0102056265716227,6.510016048591106,19.79726690858748,-35147.31118660828,-35127.5139196997,35246.071919699694
1970-01-01 00:11:45.921798,22.9111662,120.3108641,100405.0,117.955,4999.999999999999,117.95144515259402,297.01312605640896,0.0102057686184359,13.146048608968451,19.79726833117761,-35047.35857341451,-35027.561305083334,35145.516305083336
1970-01-01 00:11:46.353801,22.9112258,120.3108772,100412.0,117.525,4999.999999999999,20.0,297.01414095976685,0.0102059888044384,8.366441449858485,19.79733690478048,-35146.50272066181,-35126.70538375703,35244.23038375703
1970-01-01 00:11:46.893790,22.9112841,120.3109106,100420.0,117.741,4999.999999999999,20.0,297.0148873556392,0.0102062765078847,8.366441449858485,19.797470780218017,-35147.8167842144,-35128.01931343418,35245.760313434184
1970-01-01 00:11:47.325835,22.9113413,120.3109492,100435.0,118.36,4999.999999999999,20.0,297.0155510034317,0.010206579530269,4.904281137950123,19.79762110677839,-35150.19332409876,-35130.39570299198,35248.75570299198
1970-01-01 00:11:47.865814,22.9113997,120.3109831,100419.0,118.971,4999.999999999999,108.8782410577284,297.0162958161532,0.0102068698638276,13.59763655482803,19.797756765733777,-35058.95210314998,-35039.154346384246,35158.125346384244
1970-01-01 00:11:48.513786,22.9114594,120.3110057,100403.0,119.439,4999.999999999999,20.0,297.01720234042693,0.0102071245167472,8.34058065054877,19.79785634466115,-35145.48618166982,-35125.68832532516,35245.12732532516
1970-01-01 00:11:48.945821,22.9115183,120.311008,100416.0,120.008,4999.999999999999,20.0,297.01833587117966,0.0102073054638006,10.65263313825716,19.797889646496312,-35147.61226067895,-35127.81437103245,35247.82237103245
1970-01-01 00:11:49.485807,22.9115717,120.3109903,100400.0,120.706,4999.999999999999,20.0,297.0195991392777,0.0102073997187164,10.65263313825716,19.797855549286087,-35145.31025688422,-35125.512401334934,35246.21840133493
1970-01-01 00:11:49.917796,22.9116203,120.3109621,100407.0,120.967,4999.999999999999,20.0,297.02089210978653,0.010207442677753,10.65263313825716,19.79778521931332,-35146.535945446034,-35126.73816022672,35247.70516022672
1970-01-01 00:11:50.349906,22.9116686,120.3109326,100401.0,120.643,4999.999999999999,76.8632503683389,297.02219378545647,0.010207479964945,13.928566368661771,19.79771052144101,-35088.9074310076,-35069.109720486165,35189.75272048616
1970-01-01 00:11:50.457938,22.9116686,120.3109326,100410.0,120.643,4999.999999999999,76.8632503683389,297.02219378545647,0.010207479964945,13.928566368661771,19.79771052144101,-35090.28648318018,-35070.48877265874,35191.13177265874
1970-01-01 00:11:50.889908,22.9117202,120.3109082,100398.0,120.189,4999.999999999999,76.8632503683389,297.0234990659832,0.0102075447566332,13.928566368661771,19.797653820939257,-35088.60226061794,-35068.804606797,35188.993606797
1970-01-01 00:11:51.321933,22.9117775,120.3108993,100385.0,119.839,4999.999999999999,76.8632503683389,297.0247321842133,0.0102076809650536,13.928566368661771,19.79764995053012,-35086.75604682021,-35066.958396869675,35186.797396869675
1970-01-01 00:11:51.948605,22.9118375,120.3109121,100388.5,119.882,4999.999999999999,42.695599919547625,297.0257615488628,0.0102079019839705,12.73155978932457,19.7977177610642,-35121.581945422055,-35101.78422766099,35221.666227660986
1970-01-01 00:11:52.510165,22.9118955,120.3109459,100395.0,120.373,4999.999999999999,20.0,297.0265040753188,0.0102081918431749,3.271159733777245,19.797852977428004,-35145.36155857985,-35125.56370560242,35245.93670560242
1970-01-01 00:11:52.942190,22.9119496,120.3109945,100391.0,120.646,4999.999999999999,63.49646271047641,297.0269964520692,0.010208523170717,14.666007006843014,19.79803468102032,-35101.31040522392,-35081.5123705429,35202.1583705429
1970-01-01 00:11:53.482456,22.9119977,120.311057,100392.0,120.475,4999.999999999999,106.75817564071431,297.02720840372626,0.0102088867248547,13.199131631520086,19.798259088476375,-35058.22703300274,-35038.42877391426,35158.90377391426
