uid,sample_minutes,raw_samples,mean_lat,std_lat,mean_lon,std_lon,mean_alt,std_alt,mean_height,std_height,mean_pressure,std_pressure,mean_temp,std_temp,mean_sat,mean_hdop,lat_std_m,lon_std_m,horizontal_std_m,dpdt_peak_pa_per_min,tp_slope_pa_per_c,tp_corr,tp_r2,week,week_dt
20240606181851A641973A1878250224,474,21178,22.60630901786364,0.0002852034272087,114.05747381970936,0.0003785093527671,127.56519272883268,32.85638322464644,-2.4000001,0.0,99008.56385570268,176.09862401339484,38.9103037529178,3.990122757416792,11.921895580245948,0.9989555595233828,31.748845516882223,38.89828963164016,50.21021935743576,10.602134146320168,1.5462914256922626,0.0350365747706459,0.001227561571659,2025-09-22,2025-09-22
20240606185609A190219A4811437779,2,76,22.569915175,7.063996744080104e-05,113.87531395192308,1.10335853808722e-05,26.321634586217947,9.39160195763522,-2.9000001,0.0,100891.10586939105,0.5106410148598033,27.911377850641024,0.0487271045086318,11.009615384615383,1.2792307625,7.863641175509971,1.1341886922790236,7.945013311937838,0.722155448718695,-10.479609244364836,,,2025-09-22,2025-09-22
20240606202453A933081A7836829846,870,41416,22.606323067488137,0.0001827828567553,114.05757870769231,0.0001606665911868,142.71245576339177,54.88438191729138,-2.4000001,0.0,99511.73262599608,378.15640386184026,34.27477884583134,6.93993055105757,11.974367906455576,0.9171919425735708,20.34738761400949,16.51122994534599,26.203757307356454,7.58928571427532,-44.6603898878617,-0.8196079744775736,0.6717572318272309,2025-09-22,2025-09-22
20240911193046A806593A5642508217,409,21136,22.604846590183246,4.489237037925443e-05,114.05573548455745,5.2441878554861566e-05,257.1058949531944,16.9977458365054,-2.4000001,0.0,98620.09952702922,42.08649376643574,27.448679301542303,1.0044079971065412,11.3381243627018,0.924459332025422,4.997418670618603,5.389354438145776,7.349784665512927,5.534198667708552,-24.113491916583047,-0.5754764047012007,0.33117309236782,2025-09-22,2025-09-22
20240911193519A117375A6331369164,480,21174,22.606320460696296,0.0002985366862796,114.05728792737058,0.0008228499639716,193.469471439987,60.5977816816996,-2.4000001,0.0,99271.2067286398,182.5447565959931,38.98411440009821,3.671492339521955,11.923248278687112,0.9726391491015388,33.233103916650684,84.56185646733935,90.8578382151909,11.106534090926289,-3.2373337648262863,-0.0651119557727934,0.0042395667845582,2025-09-22,2025-09-22
20240911193733A012843A9994605977,474,21224,22.606421168608385,3.9270473261499226e-05,114.0574836243616,4.4962474730388336e-05,134.1780360420332,11.276889172479878,-2.4000001,0.0,99261.00507074076,159.16514101568973,39.02255190947906,5.256974324999094,11.930565890856284,0.8482126631905298,4.371589083470094,4.620657128691915,6.360916869103567,7.47265625,0.7977608955253124,0.0263487879224213,0.0006942586249807,2025-09-22,2025-09-22
20240911194312A389747A0782527426,1660,56690,22.60739487931845,0.0055296397441265,114.0599234459584,0.0239671371059326,133.47526479200857,54.91953488380432,-2.3946500054649893,0.1019931355178379,99442.85344961654,361.5821759977991,28.708807797960617,3.117153099158732,8.430359517416885,4.579759376231913,615.5594963161707,2463.012543432136,2538.768260910999,828.1231249999983,-16.68887622789428,-0.1438726400484292,0.0206993365545048,2025-09-22,2025-09-22
20240911194957A179458A3827373510,4,173,22.56990302954641,3.288802598553994e-05,113.87520531946872,4.73740977746984e-05,27.14092932261077,8.3967178196425,-2.965543865625,0.0446000677579048,100935.76336858606,0.5499918310780058,27.39039814376432,0.3723572910709962,9.371657754010696,1.4772262518492172,3.6610950527103054,4.8697833824937415,6.092487765879556,0.7142045454675099,-1.2328256472258718,-0.8346517028474907,0.6966434650662159,2025-09-22,2025-09-22
20240606181851A641973A1878250224,671,29563,22.60454189390454,0.0240493880625777,114.06051892695712,0.0537036854141948,170.66710426256645,118.69365435467284,-2.375988245886416,0.2070202891523128,99825.091692184,122.81772190169532,29.003107153384093,1.726414056642752,7.631825691122882,2.396415803060568,2677.1778791261504,5519.040205061912,6134.092123662003,8.39525462963502,-46.89536498556307,-0.6591949113604403,0.4345379311634987,2025-10-06,2025-10-06
20240606201439A160695A3816948226,305,12732,22.60783836715445,0.0134077101470372,114.05597949992156,0.0166679769125195,102.263579378321,29.037879132005276,-2.389161477484788,0.0980596730244185,100208.09596523184,149.66833385332097,28.987916741617845,2.607233442910088,8.609503484698196,2.451572148073462,1492.546293568184,1712.8997804282928,2271.941921844706,24.630102281284053,-50.64190561695431,-0.8821857405495596,0.7782516808289748,2025-10-06,2025-10-06
20240606202453A933081A7836829846,2708,134546,22.606275038377404,0.0001277031371144,114.05749875808397,9.998519829273416e-05,144.6684837193781,20.36070327858557,-2.4000001,0.0,99777.83861474684,153.1749755357486,28.845419580161245,5.585345814088488,12.0,0.8688202590467027,14.215913223583607,10.275186422874723,17.54057139335228,251.37983173076643,8.268964109227467,0.3015180770408804,0.0909131507824303,2025-10-06,2025-10-06
20240911193046A806593A5642508217,1424,73609,22.604885117659148,4.275068660374024e-05,114.05577182552952,3.25383730975209e-05,255.4538799038765,9.63719991528899,-2.4000001,0.0,98594.02056423646,122.30921916979082,27.76273292892472,2.4711157697456243,11.945629768897472,0.7578614697862742,4.759006432728364,3.343907220703414,5.816344017286321,216.74008413459524,15.384197349268348,0.3108198460647907,0.0966089767077401,2025-10-06,2025-10-06
