avg_latitude,avg_longitude,h_phys_m,avg_temperature,avg_humidity,avg_pressure,week_seq,residual_mean,residual_std,h_pred_mean,h_pred_std
22.6,114.05,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.4356882,0.890271,150.43568819761276,0.890271
22.6,114.05025316455696,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.7597761,1.1170787,150.75977611541748,1.1170787
22.6,114.05050632911392,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.5072575,0.5288373,150.5072575211525,0.5288373
22.6,114.05075949367088,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.5426999,0.5872984,150.54269987344742,0.5872984
22.6,114.05101265822785,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.83783495,1.8741316,150.83783495426178,1.8741316
22.6,114.05126582278481,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.47875008,0.71563256,150.47875007987022,0.71563256
22.6,114.05151898734177,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.58023536,0.98057866,150.58023536205292,0.98057866
22.6,114.05177215189873,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.17377843,0.80122596,150.17377842962742,0.80122596
22.6,114.0520253164557,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.62327284,1.0419722,150.62327283620834,1.0419722
22.6,114.05227848101265,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.47452888,0.5521092,150.47452887892723,0.5521092
22.6,114.05253164556962,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.9147903,1.4168396,150.9147902727127,1.4168396
22.6,114.05278481012658,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.588857,1.1483045,150.58885699510574,1.1483045
22.6,114.05303797468355,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.8438312,1.3054246,150.84383118152618,1.3054246
22.6,114.0532911392405,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.076480575,0.6311822,150.07648057490587,0.6311822
22.6,114.05354430379747,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.36148235,0.7818592,150.36148235201836,0.7818592
22.6,114.05379746835443,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.49867052,0.72498655,150.49867051839828,0.72498655
22.6,114.05405063291138,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.25102064,0.60608685,150.2510206401348,0.60608685
22.6,114.05430379746835,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.80676377,0.9826888,150.8067637681961,0.9826888
22.6,114.05455696202532,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.35844278,0.77887195,150.3584427833557,0.77887195
22.6,114.05481012658227,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.384521,0.59803903,150.38452100753784,0.59803903
22.6,114.05506329113923,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.42960227,1.0846871,150.42960226535797,1.0846871
22.6,114.0553164556962,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.27440575,0.8506768,150.27440574765205,0.8506768
22.6,114.05556962025317,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.14732425,0.94096845,150.14732424914837,0.94096845
22.6,114.05582278481012,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,1.0700991,2.4277906,151.0700991153717,2.4277906
22.6,114.05607594936708,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.7872526,1.3574522,150.7872526049614,1.3574522
22.6,114.05632911392405,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.45703173,0.88951004,150.45703172683716,0.88951004
22.6,114.056582278481,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.42259926,1.0131475,150.42259925603867,1.0131475
22.6,114.05683544303797,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.56469053,0.96869874,150.56469053030014,0.96869874
22.6,114.05708860759493,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.73192406,1.0276024,150.73192405700684,1.0276024
22.6,114.0573417721519,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,1.1241561,2.1932871,151.12415611743927,2.1932871
22.6,114.05759493670885,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.74343824,1.5348164,150.74343824386597,1.5348164
22.6,114.05784810126582,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.56684613,1.0870631,150.56684613227844,1.0870631
22.6,114.05810126582278,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.3568446,0.82547325,150.35684460401535,0.82547325
22.6,114.05835443037974,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.40690494,0.9826095,150.4069049358368,0.9826095
22.6,114.0586075949367,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.54681706,0.8692914,150.54681706428528,0.8692914
22.6,114.05886075949367,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.104260996,1.2034171,150.10426099598408,1.2034171
22.6,114.05911392405064,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.70874625,0.968205,150.70874625444412,0.968205
22.6,114.05936708860759,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,2.2494173,9.827737,152.24941730499268,9.827737
22.6,114.05962025316455,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.2464027,0.6200525,150.24640269577503,0.6200525
22.6,114.05987341772152,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.9209516,1.4005789,150.92095160484314,1.4005789
22.6,114.06012658227847,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.5901089,0.8807013,150.59010887145996,0.8807013
22.6,114.06037974683544,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.92134655,2.009343,150.92134654521942,2.009343
22.6,114.0606329113924,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.542414,1.0963445,150.54241400957108,1.0963445
22.6,114.06088607594936,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.55891085,1.9235684,150.5589108467102,1.9235684
22.6,114.06113924050632,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.8434511,1.6896629,150.84345108270645,1.6896629
22.6,114.06139240506329,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,8.55358,30.151701,158.55358028411865,30.151701
22.6,114.06164556962025,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,1.1030653,1.8458908,151.10306525230408,1.8458908
22.6,114.0618987341772,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,3.812216,11.944515,153.8122160434723,11.944515
22.6,114.06215189873417,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,3.371995,13.297158,153.371994972229,13.297158
22.6,114.06240506329114,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,3.25873,7.758354,153.25872993469238,7.758354
22.6,114.06265822784809,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,3.429913,5.7350893,153.42991304397583,5.7350893
